Date,Store ID,Product ID,Units Sold,Sales Amount,Discount Applied,Customer Segment
11-12-2024,S028,P034,126.0,4151.31,1.39,Premium
11-21-2024,S047,P090,43.0,3499.45,3.26,Regular
11-06-2024,S033,P008,54.0,1483.41,,Premium
,S019,P089,72.0,4513.87,1.02,Premium
11-02-2024,S038,P061,150.0,75.98,12.65,Premium
10/11/2024,S048,P014,141.0,3302.88,14.28,New
,S028,P090,180.0,1422.48,2.74,Regular
11-07-2024,S028,P056,107.0,2108.03,,New
11-07-2024,S004,P002,30.0,4476.2,0.25,New
29/11/2024,S006,,194.0,2658.52,1.95,New
11-07-2024,S022,P049,200.0,971.52,13.18,Premium
2024-11-24,S032,P070,159.0,3038.79,6.84,Regular
2024-11-20,S020,P089,148.0,1101.12,18.62,Regular
11-15-2024,S012,P095,52.0,1364.37,14.93,New
,S011,P093,133.0,4361.45,10.58,Premium
11-11-2024,S002,P011,28.0,3793.62,,New
2024-11-30,S031,P077,185.0,647.86,6.07,Regular
,S037,P018,85.0,794.03,9.3,Regular
11-02-2024,S046,P063,106.0,2937.24,9.81,Regular
11-04-2024,S007,P032,15.0,552.69,6.56,Premium
11-14-2024,S006,P048,129.0,2163.76,7.09,Regular
11-21-2024,S026,P061,182.0,4247.14,0.77,New
11-29-2024,S039,P078,184.0,,9.4,Premium
11-05-2024,S021,P054,120.0,2339.66,5.0,Premium
11-11-2024,S035,P094,48.0,3755.1,2.8,
21/11/2024,S040,P034,29.0,946.7,,Premium
11-06-2024,S021,P073,134.0,2930.31,18.43,New
2024-11-08,S004,P038,144.0,2133.59,17.36,Premium
23/11/2024,,P032,100.0,2710.33,1.19,Regular
2024-11-04,S015,P023,5.0,3554.05,,New
26/11/2024,S010,P030,142.0,3104.99,5.1,Regular
2024-11-22,,P100,54.0,1530.39,19.47,Premium
11-01-2024,S026,P100,96.0,3451.23,0.77,Premium
11-10-2024,S050,,133.0,76.62,7.89,Regular
13/11/2024,S017,P082,47.0,3962.33,5.19,Regular
11-07-2024,S022,P007,126.0,3834.03,15.17,New
11-06-2024,,P063,177.0,3893.36,0.7,Regular
11-13-2024,S013,P046,109.0,,9.02,Premium
11-28-2024,S024,P045,194.0,753.24,6.97,New
2024-11-25,S010,P027,,1470.09,,New
11-19-2024,S009,P039,7.0,1354.76,2.57,Regular
,S011,P006,57.0,4891.3,13.46,New
26/11/2024,S024,P008,,4673.86,,Regular
02/11/2024,S035,P010,27.0,311.14,11.89,Regular
2024-11-29,S020,P066,98.0,4112.7,,New
11-12-2024,,P078,76.0,4278.6,3.48,Regular
2024-11-04,S013,P020,25.0,594.99,17.46,New
,S009,P072,72.0,3695.73,8.86,Premium
2024-11-17,S045,P092,25.0,4432.09,18.01,Premium
18/11/2024,S021,P089,148.0,3818.93,17.15,New
27/11/2024,S011,P077,59.0,1108.43,10.9,New
11-23-2024,S033,P090,86.0,927.79,,New
23/11/2024,S035,P100,133.0,4386.36,0.5,New
05/11/2024,S043,P089,12.0,2216.81,19.48,Regular
2024-11-20,S025,P025,190.0,2682.0,4.43,New
,S034,P021,110.0,1000.55,0.62,New
2024-11-21,S019,P060,14.0,414.54,16.3,Regular
2024-11-13,S041,P028,139.0,3472.85,10.85,Regular
11-15-2024,S046,,199.0,3207.58,8.99,
14/11/2024,S038,P001,73.0,54.26,1.14,Premium
11-18-2024,S012,P062,107.0,31.21,,Regular
11-11-2024,S003,P056,12.0,2420.23,17.18,Premium
2024-11-16,S007,P100,46.0,937.09,7.19,Regular
11-23-2024,S016,P049,173.0,473.8,5.31,
11-08-2024,S010,,3.0,4418.61,12.3,New
11-05-2024,S049,P058,44.0,2778.83,3.82,Premium
11-06-2024,,P080,48.0,4175.59,15.21,New
11-30-2024,S049,P003,72.0,204.01,15.26,Premium
2024-11-23,S024,P039,87.0,3904.13,17.61,Regular
11-19-2024,S015,P008,95.0,404.17,12.53,New
20/11/2024,S010,P039,77.0,2715.16,15.26,
11-08-2024,S026,P058,7.0,911.13,0.73,Regular
,S042,P094,187.0,3533.92,7.22,New
,S007,P016,49.0,3481.44,16.28,Premium
10/11/2024,S011,P052,175.0,3213.82,15.23,
,S004,P010,69.0,2294.13,10.67,Premium
11-18-2024,,P053,24.0,2544.97,9.26,New
2024-11-09,S041,P068,159.0,971.01,19.83,New
11-27-2024,,P079,122.0,3552.98,17.86,Premium
11-08-2024,,P078,27.0,1430.41,19.24,Premium
,S021,P037,6.0,2294.17,2.05,
,S038,P056,74.0,2059.24,10.24,New
11-30-2024,S038,P010,19.0,4125.13,6.79,Premium
2024-11-15,S005,P092,66.0,1058.5,15.33,Regular
2024-11-10,S024,P058,112.0,1156.61,10.1,New
19/11/2024,S010,P040,193.0,3107.54,11.05,
2024-11-03,S045,P076,90.0,1586.81,16.31,
2024-11-25,S043,P095,25.0,113.42,,Regular
2024-11-22,S024,P066,,2916.9,19.5,New
2024-11-05,S014,P031,171.0,4093.75,7.25,Regular
12/11/2024,S017,P035,26.0,2458.46,9.7,Regular
11-22-2024,S039,P051,153.0,4729.99,0.69,Premium
2024-11-02,S011,P016,29.0,2512.48,11.57,Regular
01/11/2024,S011,P088,16.0,1898.23,12.36,Regular
2024-11-04,S005,P054,137.0,797.4,9.23,Regular
11-14-2024,S022,P041,11.0,1776.98,5.46,Premium
25/11/2024,S029,P045,106.0,4343.16,18.61,New
2024-11-22,S041,P032,130.0,1541.02,,Premium
2024-11-07,S009,P099,200.0,3020.51,11.44,Premium
2024-11-20,S037,P074,150.0,3682.6,5.84,Regular
2024-11-04,S045,P091,190.0,4745.41,0.52,New
11-12-2024,S047,P011,111.0,,18.55,Regular
11-10-2024,S013,P027,62.0,,2.46,Regular
11/11/2024,S005,,10.0,2973.38,15.19,Regular
04/11/2024,S022,P059,33.0,2333.27,15.46,Premium
12/11/2024,S040,P083,64.0,4062.59,1.37,New
01/11/2024,S040,P097,194.0,4496.06,12.17,New
11-01-2024,S040,,105.0,1777.62,3.52,Premium
11-11-2024,S011,P027,115.0,1294.62,7.55,New
2024-11-24,S045,P053,85.0,4458.96,14.96,New
11-16-2024,S044,P063,26.0,4626.31,9.19,Premium
2024-11-07,S009,P002,196.0,1017.8,,New
18/11/2024,S022,P039,116.0,,4.18,Premium
2024-11-22,S050,P084,156.0,2887.13,,New
11-01-2024,S034,P030,183.0,2535.23,1.61,Regular
,S047,P070,79.0,554.74,12.81,
11-27-2024,S041,P099,153.0,2793.25,19.07,New
11-26-2024,S037,P092,170.0,2467.94,,Premium
2024-11-15,S045,P008,94.0,1713.23,8.63,Regular
2024-11-22,,P050,115.0,1936.92,,New
05/11/2024,S034,P040,121.0,,16.26,
19/11/2024,S039,P062,24.0,3968.54,2.61,New
11-01-2024,S036,P089,153.0,1629.55,5.55,New
11-09-2024,S026,P049,128.0,191.14,7.11,Regular
2024-11-19,S014,P027,28.0,1402.92,19.6,New
2024-11-05,S003,P051,161.0,781.89,,Premium
2024-11-28,S045,P057,45.0,1089.7,18.25,Premium
11-07-2024,S027,P091,192.0,4614.53,6.95,New
11-28-2024,S045,P071,3.0,2341.98,15.93,Premium
16/11/2024,S009,P022,88.0,,,Regular
11-09-2024,S004,P095,177.0,3909.87,12.55,Premium
23/11/2024,S025,P030,154.0,1614.41,14.42,New
2024-11-05,,,119.0,2071.91,12.38,Regular
01/11/2024,S039,P014,137.0,3118.3,2.47,New
2024-11-17,S002,P075,82.0,4006.46,2.3,New
,S002,P089,108.0,4173.66,7.65,Premium
2024-11-01,S001,P075,90.0,3953.02,6.74,Regular
2024-11-10,S024,P011,49.0,1858.64,5.75,Regular
,S044,P004,94.0,,0.79,Premium
11-19-2024,S049,P017,113.0,2445.85,13.97,Regular
23/11/2024,S032,P042,192.0,3779.33,7.47,Premium
11-09-2024,S018,P039,75.0,4305.67,2.36,Premium
03/11/2024,S003,P016,13.0,3998.26,,Premium
11-29-2024,S027,P052,,3326.31,18.07,Regular
2024-11-14,S017,P035,159.0,4149.32,,Regular
28/11/2024,S004,P026,109.0,4617.76,18.91,Regular
07/11/2024,S017,P011,13.0,4491.85,16.17,Regular
2024-11-11,S005,P076,103.0,2982.97,15.0,Regular
11-05-2024,S001,P040,91.0,1123.29,19.65,Premium
2024-11-18,S004,P059,13.0,993.36,7.34,New
2024-11-26,S047,P029,195.0,2907.2,,Premium
13/11/2024,,P075,184.0,31.06,2.29,Premium
2024-11-06,S013,P090,64.0,4914.61,0.63,Premium
2024-11-13,S020,P092,166.0,805.95,7.89,Premium
2024-11-22,S028,P098,34.0,2482.22,19.33,New
11-30-2024,S033,P041,149.0,4638.41,0.45,New
11-28-2024,S048,P089,,2789.87,0.37,Premium
11-08-2024,S013,P042,104.0,4944.15,19.01,Regular
05/11/2024,S031,P100,200.0,3669.01,4.06,Premium
25/11/2024,S031,P029,128.0,2487.57,7.75,New
2024-11-08,S032,P083,,2889.43,9.32,New
23/11/2024,S020,P048,133.0,2288.72,2.79,Premium
2024-11-21,S017,P099,62.0,3391.34,5.58,New
11-08-2024,S005,P065,143.0,908.48,16.03,Regular
2024-11-06,S012,P096,106.0,1038.32,12.49,New
24/11/2024,S024,P078,42.0,1293.51,8.46,Regular
2024-11-14,S012,,91.0,1747.77,14.81,Regular
11-22-2024,S037,P099,102.0,905.26,0.4,Premium
2024-11-22,S011,P014,9.0,4743.12,9.2,New
,S048,P043,163.0,4946.19,1.87,Regular
13/11/2024,S001,P071,82.0,1898.08,19.43,Premium
2024-11-14,S042,P020,62.0,3278.74,,Premium
2024-11-14,S024,P030,,2170.73,8.01,New
07/11/2024,S003,P026,,2565.99,15.87,Regular
03/11/2024,S032,P077,72.0,1447.46,17.09,Premium
2024-11-06,S050,P043,,2864.96,9.47,New
2024-11-16,S018,P042,185.0,3569.25,13.23,
25/11/2024,S004,,77.0,466.79,13.48,Regular
11-12-2024,S007,P093,62.0,1921.01,,Regular
2024-11-23,S029,P028,193.0,1945.75,9.36,Regular
06/11/2024,,P058,55.0,4063.28,12.47,Regular
11-28-2024,S006,P072,35.0,4122.71,6.94,Regular
14/11/2024,S012,P012,121.0,1598.32,1.56,Regular
12/11/2024,S019,P038,72.0,3787.59,14.57,New
2024-11-01,S003,P045,53.0,4226.97,9.74,Premium
,S034,P067,103.0,401.3,8.46,New
2024-11-01,S038,P045,130.0,3938.46,3.13,
,S038,P040,111.0,3887.98,11.12,Premium
11-16-2024,,P013,149.0,2946.11,10.48,New
2024-11-19,S034,P058,102.0,3392.4,2.18,New
2024-11-13,S012,P004,125.0,4460.38,16.56,Regular
,S036,P072,153.0,990.66,11.82,Premium
2024-11-15,S018,P060,191.0,1208.79,19.33,Premium
2024-11-12,S026,P020,62.0,3632.58,8.16,Premium
07/11/2024,S028,P021,91.0,2837.85,7.45,Premium
11-07-2024,S031,P028,62.0,3695.8,9.68,New
11-23-2024,S002,P012,57.0,,2.28,Regular
11-09-2024,S037,P080,88.0,3580.85,6.03,Premium
2024-11-10,S018,P048,34.0,2734.67,14.18,Regular
13/11/2024,S001,P052,75.0,2845.84,7.55,
12/11/2024,S044,P014,182.0,4012.18,4.32,New
11-18-2024,S014,P085,88.0,2583.12,6.08,
11-14-2024,S023,P079,81.0,4489.25,13.49,Regular
11-07-2024,S020,P077,65.0,2919.25,16.57,New
11-01-2024,S004,P025,31.0,2618.75,,New
2024-11-30,S047,P094,160.0,2748.04,14.76,New
2024-11-03,S026,P057,24.0,2537.82,8.4,New
11-09-2024,S045,P014,66.0,3249.19,,Regular
2024-11-28,S047,P052,17.0,1047.31,,Regular
11-13-2024,S008,P068,67.0,,6.53,New
11-04-2024,S002,P044,35.0,2296.76,1.58,Premium
11-30-2024,S020,P014,81.0,3460.79,14.21,Premium
11-21-2024,S017,P086,163.0,1259.07,10.87,Premium
,S040,P028,116.0,4258.35,3.66,Regular
2024-11-06,,P086,53.0,2990.15,6.52,New
,S022,P100,97.0,1842.91,,Regular
2024-11-02,S023,P062,185.0,2413.7,7.46,New
30/11/2024,S028,P078,84.0,1810.94,13.26,New
11-17-2024,S023,P041,49.0,4029.52,17.46,New
,S021,P090,115.0,3584.73,6.8,New
,S012,P085,153.0,217.78,3.1,Regular
11-08-2024,S025,P035,174.0,618.66,16.07,New
,S029,P067,69.0,1738.98,12.01,Premium
15/11/2024,S005,P030,197.0,4088.71,16.02,Regular
11-14-2024,,P001,193.0,3041.76,1.5,Premium
22/11/2024,S032,P085,199.0,4292.5,8.97,New
2024-11-22,S031,P073,55.0,2673.4,1.28,Premium
2024-11-05,S006,P027,153.0,,14.53,New
16/11/2024,S012,P046,90.0,635.11,3.12,Premium
17/11/2024,S006,,58.0,1479.75,18.42,New
19/11/2024,S001,P019,11.0,2329.08,16.16,New
2024-11-20,S003,P078,,1187.65,16.67,New
2024-11-12,S024,P061,109.0,4793.9,5.44,New
2024-11-12,S039,,115.0,4618.89,3.44,
11-23-2024,S009,P088,153.0,484.25,3.18,Regular
11-09-2024,S002,P001,59.0,954.07,12.78,Regular
,S039,P015,26.0,3577.09,13.91,New
14/11/2024,S016,P008,137.0,207.34,15.72,Premium
,S028,P089,,959.66,19.5,Premium
11-14-2024,S043,P087,2.0,2903.78,5.7,Premium
2024-11-27,S032,P032,4.0,2373.52,10.03,New
21/11/2024,S013,,129.0,1536.21,3.4,Premium
2024-11-04,S036,P087,198.0,822.72,5.98,Regular
05/11/2024,,P093,82.0,4534.81,5.58,Premium
11-22-2024,S023,P010,160.0,1989.07,,New
07/11/2024,S010,P063,33.0,225.89,1.15,New
11-15-2024,S044,P015,91.0,3153.2,8.13,
2024-11-30,S011,P037,39.0,1912.83,15.51,New
19/11/2024,S045,P095,23.0,2771.64,15.44,Premium
2024-11-02,S028,,45.0,2926.97,12.94,Premium
11-02-2024,S007,P098,114.0,,19.18,Regular
11-09-2024,S039,,170.0,2040.72,4.67,Premium
11-04-2024,S008,P082,123.0,1489.61,9.39,Premium
,S018,P093,196.0,2475.14,17.79,Premium
2024-11-19,S040,P069,75.0,869.72,1.64,New
,S033,P079,166.0,2508.91,2.68,New
2024-11-17,S043,P021,54.0,160.88,9.02,Regular
11-03-2024,S036,P095,182.0,749.33,12.5,Premium
11-09-2024,S033,P070,193.0,142.67,15.47,Premium
2024-11-11,S036,P044,29.0,,18.88,Premium
27/11/2024,S009,P014,65.0,785.39,3.59,New
08/11/2024,S018,P005,47.0,2832.37,6.43,New
27/11/2024,S034,P100,158.0,2885.34,12.9,Regular
2024-11-09,S028,P044,66.0,2651.85,4.45,Regular
,S045,P072,114.0,3110.94,10.66,Regular
11-19-2024,S019,P033,179.0,3785.79,10.37,Premium
2024-11-03,S009,P025,46.0,921.47,12.68,Premium
11-22-2024,S003,P087,59.0,3064.6,11.34,Regular
11-12-2024,S047,P023,48.0,2277.19,1.75,New
12/11/2024,S041,,173.0,1536.77,10.92,Premium
25/11/2024,S004,P058,87.0,3171.29,13.93,New
2024-11-17,S003,P089,114.0,,16.11,New
2024-11-19,S034,P015,92.0,2048.19,2.23,New
,S031,P072,118.0,3444.13,7.01,New
11-07-2024,S040,P024,197.0,1767.36,1.92,
,S035,P028,197.0,4316.69,16.07,Regular
11-08-2024,S013,P014,176.0,2628.2,1.9,Regular
11-09-2024,S035,P005,,3665.05,7.5,New
2024-11-02,S048,P051,76.0,2630.6,4.42,New
11-25-2024,S021,P091,81.0,1881.52,4.83,New
2024-11-29,S049,P073,175.0,1825.4,19.89,Regular
2024-11-01,S048,P080,61.0,658.76,,New
11-28-2024,S042,P018,102.0,2918.66,8.41,Premium
2024-11-11,S039,P050,52.0,3955.49,14.93,Premium
11-28-2024,S006,P036,80.0,2546.61,1.38,Premium
27/11/2024,S041,P003,114.0,4705.96,4.97,Premium
11-25-2024,S029,P038,189.0,4848.57,1.76,New
02/11/2024,S028,P079,187.0,3740.79,3.12,Premium
15/11/2024,S036,P036,146.0,1929.19,18.05,New
11-01-2024,S026,P017,47.0,3415.18,5.86,Regular
11-08-2024,S050,P039,185.0,3814.97,19.47,Regular
11-22-2024,S047,P033,131.0,1371.21,6.28,Regular
13/11/2024,S016,P099,78.0,4003.9,16.99,Premium
11-03-2024,S001,P075,15.0,4476.98,2.99,Premium
11-13-2024,S017,P080,68.0,1434.15,13.36,Premium
04/11/2024,S013,P023,103.0,4066.25,1.15,Premium
01/11/2024,S010,P042,143.0,4033.31,,Regular
19/11/2024,,P092,120.0,4409.12,1.81,Regular
2024-11-12,S047,P053,126.0,3888.37,18.75,Regular
,S009,P030,81.0,3534.39,10.83,Regular
11-15-2024,S040,P066,120.0,3223.2,5.43,Regular
,S012,P074,183.0,4890.41,,Premium
06/11/2024,S026,P057,139.0,2901.24,10.0,Regular
17/11/2024,S011,P099,83.0,3269.81,,Regular
05/11/2024,S002,P028,181.0,1896.79,1.16,Premium
11-07-2024,S005,P074,13.0,2531.1,17.44,Premium
11-25-2024,S020,P057,24.0,4601.32,19.02,New
21/11/2024,,P054,120.0,4677.75,14.18,Premium
2024-11-12,S049,P028,83.0,440.13,12.75,Premium
11-18-2024,S041,P029,55.0,331.08,19.22,Regular
28/11/2024,S017,P090,534.0,3308.93,4.48,Premium
11-29-2024,S032,P017,30.0,1332.94,3.75,Regular
01/11/2024,S031,P075,177.0,2746.5,15.85,Regular
2024-11-02,S043,P069,112.0,1594.81,19.24,Regular
11-07-2024,S047,P015,45.0,4100.39,18.86,New
2024-11-18,S023,P003,72.0,1636.06,6.73,Regular
2024-11-18,S008,P091,126.0,3072.85,,Premium
2024-11-11,S004,P033,36.0,2647.34,13.91,Premium
,S014,P072,29.0,1214.69,1.43,
03/11/2024,S031,P069,120.0,3809.37,0.14,New
29/11/2024,S040,P075,121.0,4998.34,15.94,Premium
2024-11-06,S027,P057,129.0,3460.32,8.03,New
11-24-2024,S018,P087,185.0,508.37,17.48,Regular
30/11/2024,S021,,152.0,3435.56,10.35,Regular
25/11/2024,S029,P007,51.0,4501.64,14.65,Premium
29/11/2024,S022,P076,143.0,2654.69,0.04,Premium
2024-11-03,S017,P011,103.0,4986.27,17.72,New
11-10-2024,S045,P092,7.0,1993.46,,New
11-27-2024,,P006,193.0,259.07,19.93,New
2024-11-12,S018,P080,79.0,1187.08,2.0,
24/11/2024,S007,P039,4.0,628.99,7.73,Regular
2024-11-12,S024,P060,189.0,1916.35,16.03,Regular
30/11/2024,S009,P090,59.0,43.67,15.21,New
2024-11-19,S036,P010,51.0,3387.3,10.23,Regular
24/11/2024,S047,P008,89.0,1848.1,,
12/11/2024,S047,P047,186.0,2562.76,5.07,Regular
,S048,P089,55.0,416.2,7.3,Regular
18/11/2024,S039,P004,154.0,2241.0,5.74,Premium
19/11/2024,S004,P086,,1228.05,8.33,Premium
17/11/2024,S027,P013,115.0,4386.86,14.59,Premium
11-13-2024,S026,P052,26.0,,15.77,Regular
11-14-2024,S039,P018,154.0,422.03,12.58,New
17/11/2024,S010,P027,111.0,2185.43,17.94,Premium
2024-11-17,S049,P040,20.0,3437.19,0.2,New
11-25-2024,S018,P026,164.0,4519.61,7.51,Regular
2024-11-16,S024,P095,52.0,1504.02,15.12,New
29/11/2024,S026,P065,163.0,4710.98,13.6,New
27/11/2024,S014,P055,39.0,1089.14,6.67,Premium
27/11/2024,S026,P099,34.0,3111.01,10.5,Premium
2024-11-28,S048,P048,147.0,3770.11,10.82,Regular
11-03-2024,S023,P069,28.0,3574.68,13.97,Premium
09/11/2024,S007,P087,58.0,3580.94,15.98,Regular
12/11/2024,S005,P077,,2153.05,0.25,Regular
2024-11-08,S009,P089,74.0,4771.56,12.02,New
2024-11-10,S020,P005,165.0,2804.3,9.89,New
11-27-2024,S029,P005,974.0,845.8,16.66,Regular
06/11/2024,S007,P019,92.0,992.97,15.43,Premium
23/11/2024,S049,P064,83.0,1948.67,7.18,Premium
11-24-2024,S003,P058,42.0,3084.56,13.13,Regular
2024-11-19,S014,P100,,3342.43,12.97,Premium
,S041,P006,21.0,4329.43,18.92,Regular
2024-11-14,S030,P066,85.0,2516.85,16.89,New
11-25-2024,S026,P088,91.0,2054.1,11.4,Regular
2024-11-11,S016,P047,1.0,3781.7,10.22,Premium
2024-11-23,S003,P066,48.0,412.51,17.36,New
2024-11-25,S048,P004,111.0,1751.21,19.98,Premium
25/11/2024,S013,P085,190.0,859.31,15.47,New
25/11/2024,S006,P009,,627.21,5.39,Regular
2024-11-27,S049,P056,32.0,4097.55,,New
01/11/2024,S024,P039,164.0,3733.62,9.26,New
2024-11-29,S050,P072,25.0,2143.22,5.13,New
11-20-2024,S021,P040,129.0,808.01,5.12,New
11-05-2024,S033,P041,151.0,,2.44,Premium
24/11/2024,S023,P004,88.0,1784.14,6.77,New
11-23-2024,S039,P043,103.0,2941.85,12.11,Premium
2024-11-24,S002,P042,125.0,742.44,7.07,New
,S008,P076,,3654.72,8.15,New
29/11/2024,S046,P015,136.0,4135.88,16.69,Regular
19/11/2024,S006,P066,46.0,2272.26,12.08,New
2024-11-21,S035,P024,115.0,4580.22,,New
11-30-2024,S029,P041,63.0,2074.12,13.52,Premium
2024-11-18,,P051,29.0,4296.68,12.94,New
11-03-2024,S024,P043,9.0,3211.78,18.19,Premium
27/11/2024,S009,,151.0,1730.1,15.47,Premium
14/11/2024,S006,P093,41.0,3675.42,18.92,Premium
20/11/2024,S039,P052,120.0,3839.81,2.48,New
2024-11-10,S049,P003,161.0,1323.47,16.42,Premium
29/11/2024,S022,P012,187.0,1047.97,0.61,Regular
2024-11-03,S031,P038,165.0,4552.96,10.21,Premium
2024-11-10,S049,P083,170.0,534.04,,Premium
05/11/2024,S017,P089,118.0,4092.07,,New
11-30-2024,S024,P071,2.0,4509.54,15.21,Premium
2024-11-14,S019,P030,37.0,2593.7,0.88,
2024-11-18,S042,P056,52.0,13.58,13.15,New
,S010,P080,155.0,312.99,1.23,Regular
2024-11-11,S027,P056,129.0,1853.68,10.13,Regular
,S010,P046,119.0,4408.8,9.77,New
,S039,P037,,4175.35,4.3,New
,S035,P050,60.0,776.85,19.75,New
11-21-2024,S050,P003,134.0,4067.02,3.78,New
06/11/2024,S014,,64.0,4817.99,9.25,New
11-24-2024,S016,P063,7.0,593.44,15.71,Regular
11-27-2024,S016,P036,46.0,2924.4,,Regular
2024-11-13,S012,P083,99.0,4081.2,3.03,New
08/11/2024,S033,,100.0,3762.66,2.1,Regular
2024-11-30,S019,P041,82.0,3047.02,10.59,New
,S026,P061,62.0,3449.11,9.8,New
01/11/2024,S050,P020,164.0,,3.13,New
17/11/2024,S017,P036,191.0,1581.89,3.53,Premium
11-19-2024,S031,P079,71.0,4702.25,1.46,New
01/11/2024,S024,P099,30.0,224.38,15.63,Premium
,S040,P035,,855.74,7.48,Premium
2024-11-04,S026,P034,189.0,3184.44,12.78,New
2024-11-19,S017,,173.0,3361.69,9.05,Regular
2024-11-18,S013,P058,191.0,4999.7,17.4,Regular
15/11/2024,S048,P088,79.0,2307.63,3.25,New
2024-11-15,S023,P008,188.0,943.35,10.8,Regular
2024-11-10,S048,P076,200.0,,13.81,New
,S041,P018,123.0,2336.11,14.86,Premium
03/11/2024,S002,P024,178.0,2498.63,16.11,New
2024-11-30,S021,P036,60.0,3195.07,9.43,Regular
29/11/2024,S026,P038,158.0,380.61,1.94,Premium
2024-11-30,S050,P036,78.0,1085.2,4.34,Premium
27/11/2024,S048,P093,21.0,4954.57,19.11,Premium
2024-11-26,S020,P050,193.0,138.03,,Premium
11-17-2024,S029,P078,52.0,3286.03,2.94,Premium
,S016,P005,40.0,1146.73,19.22,Premium
,S024,P042,72.0,1790.46,3.96,Regular
2024-11-04,S050,P078,154.0,1586.38,11.62,Premium
11-04-2024,S005,P049,176.0,192.1,2.54,Regular
11-04-2024,S006,P038,38.0,3727.35,7.67,Regular
11-09-2024,S041,P083,177.0,1933.82,10.61,Regular
2024-11-23,S010,P024,56.0,731.81,7.57,Regular
11-28-2024,S020,P080,,3466.7,10.69,New
2024-11-04,S009,P002,144.0,1650.23,10.37,Regular
11-15-2024,S046,P052,187.0,3601.08,9.88,New
,S028,P071,176.0,860.74,18.7,Premium
11-20-2024,S024,P035,198.0,4463.88,15.28,Regular
11-19-2024,S005,P066,130.0,,10.32,New
2024-11-11,S012,P059,92.0,127.23,8.41,Regular
,S041,P078,58.0,1372.05,16.21,Premium
2024-11-26,S047,P008,170.0,1230.17,1.2,New
11-08-2024,S031,P077,170.0,1156.36,8.72,New
2024-11-02,S034,P023,,2754.51,2.98,New
19/11/2024,S040,P054,95.0,847.95,7.39,Premium
17/11/2024,S031,P050,47.0,1431.79,7.11,Premium
2024-11-02,,P076,35.0,575.21,16.5,New
2024-11-30,S012,P037,117.0,3754.1,6.84,Premium
24/11/2024,S006,P097,108.0,3048.33,16.56,Regular
11-08-2024,S005,P027,56.0,2800.37,18.92,New
2024-11-02,,P005,134.0,2582.28,2.88,New
2024-11-07,S030,P058,21.0,,,Regular
11-05-2024,,P083,78.0,,11.88,Premium
21/11/2024,S036,P052,89.0,2245.16,1.84,Regular
23/11/2024,S021,P061,100.0,4831.93,16.77,Regular
11-26-2024,S025,P039,,3616.66,10.18,Premium
22/11/2024,S011,P022,29.0,661.22,19.93,New
11-09-2024,S005,P052,32.0,3714.5,0.86,Premium
2024-11-12,S021,P049,134.0,239.26,11.49,New
11-19-2024,S039,P096,141.0,3336.1,5.85,Regular
11-24-2024,S043,P063,84.0,3763.13,3.62,Regular
2024-11-04,S033,P043,27.0,3425.29,4.61,Regular
05/11/2024,S011,P038,160.0,341.78,1.49,Premium
11-28-2024,S038,P036,142.0,692.28,11.35,New
,S018,P089,195.0,854.9,2.44,New
16/11/2024,S031,P043,55.0,1210.48,17.34,New
2024-11-07,S024,P060,144.0,4849.9,14.23,New
28/11/2024,S040,,61.0,260.74,16.52,Regular
11-09-2024,S020,P084,54.0,3597.94,17.5,Regular
30/11/2024,S043,,85.0,,10.16,New
03/11/2024,S008,P059,170.0,1177.36,10.51,New
11-30-2024,S032,P046,81.0,4930.05,5.27,Premium
,S026,,96.0,2651.45,18.28,New
26/11/2024,S034,P017,9.0,4141.94,16.34,Premium
2024-11-30,S039,P046,46.0,3240.96,2.7,New
2024-11-21,S037,P012,113.0,1333.69,10.75,Premium
2024-11-22,S042,P054,45.0,2837.29,17.45,Premium
11-24-2024,S048,P091,174.0,2939.86,4.05,Regular
2024-11-19,S044,P037,131.0,2631.9,4.55,New
,S049,P095,92.0,1853.99,,Premium
08/11/2024,S032,P086,46.0,2536.86,6.52,Premium
2024-11-23,S036,P091,36.0,3803.11,,New
11-20-2024,S018,P059,99.0,705.51,0.33,Regular
21/11/2024,S041,P099,77.0,4728.46,,Regular
11-12-2024,S042,P005,131.0,523.52,6.88,Premium
19/11/2024,S009,P038,105.0,4534.23,13.57,Premium
2024-11-15,S027,P014,133.0,2197.37,12.05,Premium
2024-11-27,S019,P084,121.0,3879.07,,New
09/11/2024,S041,P096,175.0,343.75,5.12,Regular
2024-11-10,S034,P016,139.0,2738.25,0.57,Regular
11/11/2024,,P052,32.0,1872.36,,New
28/11/2024,S031,P090,,,9.24,New
2024-11-02,S004,P081,40.0,3218.03,18.89,Premium
2024-11-13,S025,P074,83.0,3973.32,13.55,New
22/11/2024,S001,P048,67.0,4489.22,5.97,New
28/11/2024,S034,P029,37.0,3781.39,1.98,Regular
10/11/2024,S005,P008,96.0,3161.11,13.27,New
16/11/2024,S046,P039,30.0,397.77,14.69,Premium
2024-11-15,S050,P053,159.0,1848.41,12.46,Regular
11-24-2024,S039,P090,63.0,3199.7,4.75,Premium
2024-11-18,S034,P099,106.0,4393.42,1.17,New
02/11/2024,S014,P015,179.0,2889.46,7.82,Regular
10/11/2024,S001,P057,25.0,208.08,16.55,Regular
2024-11-18,S030,P045,112.0,4180.09,15.28,Premium
11-05-2024,S048,P070,89.0,3393.3,12.42,New
